name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2020-01-10,11.6,1.2,6.5,11.6,-1.7,5.4,-1.7,58.3,0,0,0,,0,0,36.4,17.7,16.4,1028.6,18.1,15.7,106.5,9.2,5,,2020-01-10T08:37:40,2020-01-10T18:06:46,0.5,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-11,12.3,-2.1,3.9,12.3,-6,2.7,-3.4,61.4,0,0,0,,0,0,19.8,10.8,32.4,1032.6,0.3,20,115.2,10,5,,2020-01-11T08:37:27,2020-01-11T18:07:48,0.52,Clear,Clear conditions throughout the day.,clear-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-01-12,10.8,-4,2.1,10.8,-5.6,1.8,-4.5,64.8,0,0,0,,0,0,11.2,7.3,106,1032.2,5.5,20.8,115.7,10.1,5,,2020-01-12T08:37:11,2020-01-12T18:08:51,0.56,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-13,8.6,-3.2,1.4,7.3,-5.1,0.9,-3,74.4,0,0,0,,0,0,18.4,12.1,187.1,1028,52.9,13,89.3,7.7,4,,2020-01-13T08:36:54,2020-01-13T18:09:55,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-01-14,8.9,-3.8,2,8.2,-3.8,1.8,-2.1,75.5,0,0,0,,0,0,23.4,10.9,172.8,1024.7,26.2,11.8,104.4,8.9,5,,2020-01-14T08:36:34,2020-01-14T18:11:00,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-15,7.9,1.8,5,7.9,1.8,4.8,1.6,78.8,0,0,0,,0,0,22.3,7.8,120.1,1026.1,86.3,9.9,29.1,2.5,1,,2020-01-15T08:36:12,2020-01-15T18:12:06,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-16,13.3,6,8.2,13.3,4.7,7.9,4.1,75.6,0,0,0,,0,0,88.9,8.6,180.2,1027.5,79.3,9.8,51.9,4.6,4,,2020-01-16T08:35:48,2020-01-16T18:13:13,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-17,12.5,4.8,8.2,12.5,3.8,7.5,2.9,70.7,0.001,100,4.17,rain,0,0,28.1,16.2,247.2,1030.2,50.7,17.2,70,6,3,,2020-01-17T08:35:22,2020-01-17T18:14:21,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-18,8.7,3,6.1,7.2,3,5.5,4,86.7,1.901,100,62.5,rain,0,0,32.4,11.2,227.2,1027.7,90.3,14.3,20.5,1.8,1,,2020-01-18T08:34:54,2020-01-18T18:15:29,0.77,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,D4212,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-01-19,10.5,2.3,5.7,10.5,-1.7,3.5,-3.9,56.9,0.542,100,54.17,rain,0,0,77.8,33.1,22.7,1021.5,74.7,20.8,62.8,5.5,3,,2020-01-19T08:34:24,2020-01-19T18:16:38,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
